ibge_code,municipality,reference_year,period,concept,financial_stage,unit,siope_value,rreo_value,canonical_value,absolute_difference,percentage_difference,status,tolerance_rule_id
4313425,Novo Machado,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,85.61,85.61,85.61,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313441,Novo Tiradentes,2024,6,mdeAppliedAmount,empenhado,BRL,6680882.44,6680882.44,6680882.44,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4313441,Novo Tiradentes,2024,6,mdeAppliedRate,calculated_indicator,percent,28.41,28.41,28.41,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313441,Novo Tiradentes,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,96.43,96.43,96.43,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313466,Novo Xingu,2024,6,mdeAppliedAmount,empenhado,BRL,6962037.76,6962037.76,6962037.76,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4313466,Novo Xingu,2024,6,mdeAppliedRate,calculated_indicator,percent,29.72,29.72,29.72,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313466,Novo Xingu,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,97.08,97.08,97.08,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313490,Novo Barreiro,2024,6,mdeAppliedAmount,empenhado,BRL,6922125.76,6922125.76,6922125.76,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4313490,Novo Barreiro,2024,6,mdeAppliedRate,calculated_indicator,percent,26.79,26.79,26.79,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313490,Novo Barreiro,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,99.28,99.28,99.28,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
